No,Traffik,Throughput,Bandwidth,Link Utilization,Delay,Jitter,Packet Loss,Kongesti Label
1,400,407,1000,0.407,29.293206,0.21,0,Tidak Kongesti
2,400,400,1000,0.4,29.306695,0.214,0,Tidak Kongesti
3,400,400,1000,0.4,29.320793,0.189,0,Tidak Kongesti
4,400,400,1000,0.4,29.307518,0.169,0,Tidak Kongesti
5,400,400,1000,0.4,29.317384,0.2,0,Tidak Kongesti
6,400,400,1000,0.4,29.318437,0.161,0,Tidak Kongesti
7,400,400,1000,0.4,29.314298,0.13,0,Tidak Kongesti
8,400,400,1000,0.4,29.312428,0.157,0,Tidak Kongesti
9,400,400,1000,0.4,29.309321,0.175,0,Tidak Kongesti
10,400,400,1000,0.4,29.315734,0.253,0,Tidak Kongesti
11,400,400,1000,0.4,29.322343,0.172,0,Tidak Kongesti
12,400,400,1000,0.4,29.147472,0.186,0,Tidak Kongesti
13,400,400,1000,0.4,29.320547,0.188,0,Tidak Kongesti
14,400,400,1000,0.4,29.316037,0.177,0,Tidak Kongesti
15,400,400,1000,0.4,29.265877,0.173,0,Tidak Kongesti
16,400,400,1000,0.4,29.312291,0.188,0,Tidak Kongesti
17,400,400,1000,0.4,29.206582,0.24,0,Tidak Kongesti
18,400,400,1000,0.4,29.314913,0.19,0,Tidak Kongesti
19,400,400,1000,0.4,29.325201,0.21,0,Tidak Kongesti
20,400,400,1000,0.4,29.305892,0.179,0,Tidak Kongesti
21,400,400,1000,0.4,29.311723,0.231,0,Tidak Kongesti
22,400,400,1000,0.4,29.327392,0.235,0,Tidak Kongesti
23,400,400,1000,0.4,29.318867,0.209,0,Tidak Kongesti
24,400,400,1000,0.4,29.317984,0.153,0,Tidak Kongesti
25,400,400,1000,0.4,29.323638,0.261,0,Tidak Kongesti
26,400,400,1000,0.4,29.325945,0.192,0,Tidak Kongesti
27,400,400,1000,0.4,29.325052,0.269,0,Tidak Kongesti
28,400,400,1000,0.4,29.32654,0.237,0,Tidak Kongesti
29,400,400,1000,0.4,29.324906,0.178,0,Tidak Kongesti
30,400,400,1000,0.4,29.325006,0.165,0,Tidak Kongesti
31,800,802,1000,0.802,14.680403,0.235,0,Kongesti
32,800,801,1000,0.801,14.682054,0.153,0,Kongesti
33,800,801,1000,0.801,14.681264,0.184,0,Kongesti
34,800,801,1000,0.801,14.682456,0.179,0,Kongesti
35,800,801,1000,0.801,14.679596,0.209,0,Kongesti
36,800,801,1000,0.801,14.682118,0.236,0,Kongesti
37,800,800,1000,0.8,14.681296,0.12,0,Tidak Kongesti
38,800,800,1000,0.8,14.681502,0.223,0,Tidak Kongesti
39,800,801,1000,0.801,14.681868,0.209,0,Kongesti
40,800,801,1000,0.801,14.681828,0.226,0,Kongesti
41,800,800,1000,0.8,14.681603,0.282,0,Tidak Kongesti
42,800,801,1000,0.801,14.682175,0.226,0,Kongesti
43,800,800,1000,0.8,14.682497,0.133,0,Tidak Kongesti
44,800,800,1000,0.8,14.682227,0.181,0,Tidak Kongesti
45,800,800,1000,0.8,14.680505,0.196,0,Tidak Kongesti
46,800,800,1000,0.8,14.682818,0.217,0,Tidak Kongesti
47,800,800,1000,0.8,14.679834,0.285,0,Tidak Kongesti
48,800,800,1000,0.8,14.679643,0.21,0,Tidak Kongesti
49,800,800,1000,0.8,14.678424,0.169,0,Tidak Kongesti
50,800,800,1000,0.8,14.681727,0.182,0,Tidak Kongesti
51,800,800,1000,0.8,14.681348,0.228,0,Tidak Kongesti
52,800,800,1000,0.8,14.677124,0.178,0,Tidak Kongesti
53,800,800,1000,0.8,14.680534,0.227,0,Tidak Kongesti
54,800,800,1000,0.8,14.68177,0.192,0,Tidak Kongesti
55,800,801,1000,0.801,14.682069,0.2,0,Kongesti
56,800,800,1000,0.8,14.682366,0.179,0,Tidak Kongesti
57,800,801,1000,0.801,14.682019,0.164,0,Kongesti
58,800,801,1000,0.801,14.681014,0.279,0,Kongesti
59,800,800,1000,0.8,14.681198,0.197,0,Tidak Kongesti
60,800,800,1000,0.8,14.682393,0.234,0,Tidak Kongesti
61,1200,972,1000,0.972,12.095633,2.328,11,Kongesti Berat
62,1200,972,1000,0.972,12.095913,2.254,11,Kongesti Berat
63,1200,972,1000,0.972,12.096127,2.285,11,Kongesti Berat
64,1200,972,1000,0.972,12.096753,2.351,5.6,Kongesti Berat
65,1200,972,1000,0.972,12.096419,3.542,2.6,Kongesti Berat
66,1200,972,1000,0.972,12.098113,3.526,2.6,Kongesti Berat
67,1200,972,1000,0.972,12.096165,2.305,11,Kongesti Berat
68,1200,972,1000,0.972,12.096365,2.321,10,Kongesti Berat
69,1200,972,1000,0.972,12.09591,2.285,10,Kongesti Berat
70,1200,972,1000,0.972,12.095409,2.299,12,Kongesti Berat
71,1200,972,1000,0.972,12.096254,3.357,2.6,Kongesti Berat
72,1200,972,1000,0.972,12.096512,2.359,6,Kongesti Berat
73,1200,972,1000,0.972,12.096428,3.912,11,Kongesti Berat
74,1200,972,1000,0.972,12.096036,2.298,5.1,Kongesti Berat
75,1200,972,1000,0.972,12.096226,2.309,6.9,Kongesti Berat
76,1200,972,1000,0.972,12.096195,2.295,6.9,Kongesti Berat
77,1200,972,1000,0.972,12.09584,2.292,12,Kongesti Berat
78,1200,972,1000,0.972,12.096005,2.318,12,Kongesti Berat
79,1200,972,1000,0.972,12.096012,2.384,12,Kongesti Berat
80,1200,972,1000,0.972,12.095975,2.293,11,Kongesti Berat
81,1200,972,1000,0.972,12.096393,2.293,10,Kongesti Berat
82,1200,972,1000,0.972,12.09627,2.395,7.1,Kongesti Berat
83,1200,972,1000,0.972,12.096315,3.478,2.6,Kongesti Berat
84,1200,972,1000,0.972,12.10303,3.206,2.6,Kongesti Berat
85,1200,972,1000,0.972,12.096376,3.296,2.6,Kongesti Berat
86,1200,972,1000,0.972,12.095885,2.302,11,Kongesti Berat
87,1200,972,1000,0.972,12.096025,2.301,5.1,Kongesti Berat
88,1200,972,1000,0.972,12.095953,2.306,3,Kongesti Berat
89,1200,972,1000,0.972,12.09576,2.298,8.3,Kongesti Berat
90,1200,972,1000,0.972,12.09589,2.299,8.5,Kongesti Berat
91,1600,972,1000,0.972,12.100653,3.421,27,Kongesti Berat
92,1600,972,1000,0.972,12.096613,3.394,27,Kongesti Berat
93,1600,972,1000,0.972,12.096472,3.267,27,Kongesti Berat
94,1600,972,1000,0.972,12.113218,3.385,27,Kongesti Berat
95,1600,972,1000,0.972,12.096468,3.428,27,Kongesti Berat
96,1600,972,1000,0.972,12.113285,3.156,27,Kongesti Berat
97,1600,972,1000,0.972,12.096861,4.746,28,Kongesti Berat
98,1600,972,1000,0.972,12.096446,4.745,29,Kongesti Berat
99,1600,971,1000,0.971,12.110807,4.756,33,Kongesti Berat
100,1600,972,1000,0.972,12.09647,3.307,27,Kongesti Berat
101,1600,972,1000,0.972,12.096615,3.314,27,Kongesti Berat
102,1600,972,1000,0.972,12.097646,3.292,27,Kongesti Berat
103,1600,972,1000,0.972,12.095733,4.757,34,Kongesti Berat
104,1600,970,1000,0.97,12.113319,4.803,36,Kongesti Berat
105,1600,972,1000,0.972,12.096473,4.784,32,Kongesti Berat
106,1600,971,1000,0.971,12.108291,4.756,31,Kongesti Berat
107,1600,972,1000,0.972,12.096881,3.367,27,Kongesti Berat
108,1600,972,1000,0.972,12.096606,4.739,30,Kongesti Berat
109,1600,972,1000,0.972,12.096839,4.743,28,Kongesti Berat
110,1600,972,1000,0.972,12.096997,4.748,30,Kongesti Berat
111,1600,972,1000,0.972,12.096826,4.723,28,Kongesti Berat
112,1600,972,1000,0.972,12.109721,4.626,34,Kongesti Berat
113,1600,972,1000,0.972,12.096532,4.736,29,Kongesti Berat
114,1600,971,1000,0.971,12.101777,4.756,34,Kongesti Berat
115,1600,971,1000,0.971,12.096199,4.759,33,Kongesti Berat
116,1600,971,1000,0.971,12.100602,4.748,30,Kongesti Berat
117,1600,972,1000,0.972,12.096196,4.736,33,Kongesti Berat
118,1600,972,1000,0.972,12.096481,4.749,31,Kongesti Berat
119,1600,971,1000,0.971,12.100018,4.752,34,Kongesti Berat
120,1600,972,1000,0.972,12.096465,4.752,29,Kongesti Berat
121,2000,972,1000,0.972,12.096847,6.222,42,Kongesti Berat
122,2000,972,1000,0.972,12.104346,1.215,48,Kongesti Berat
123,2000,972,1000,0.972,12.096827,1.169,42,Kongesti Berat
124,2000,972,1000,0.972,12.096173,1.554,46,Kongesti Berat
125,2000,972,1000,0.972,12.105626,0.593,42,Kongesti Berat
126,2000,972,1000,0.972,12.09943,0.529,42,Kongesti Berat
127,2000,972,1000,0.972,12.096513,1.104,42,Kongesti Berat
128,2000,972,1000,0.972,12.096526,0.55,42,Kongesti Berat
129,2000,972,1000,0.972,12.096614,1.162,42,Kongesti Berat
130,2000,972,1000,0.972,12.096589,1.463,42,Kongesti Berat
131,2000,972,1000,0.972,12.098583,0.82,42,Kongesti Berat
132,2000,970,1000,0.97,12.113913,1.166,42,Kongesti Berat
133,2000,972,1000,0.972,12.096585,0.509,42,Kongesti Berat
134,2000,971,1000,0.971,12.114055,1.439,42,Kongesti Berat
135,2000,972,1000,0.972,12.096185,6.225,47,Kongesti Berat
136,2000,972,1000,0.972,12.096241,6.211,47,Kongesti Berat
137,2000,972,1000,0.972,12.096999,1.272,42,Kongesti Berat
138,2000,972,1000,0.972,12.096903,1.06,42,Kongesti Berat
139,2000,971,1000,0.971,12.099381,6.221,46,Kongesti Berat
140,2000,972,1000,0.972,12.096115,7.86,47,Kongesti Berat
141,2000,971,1000,0.971,12.105454,0.659,42,Kongesti Berat
142,2000,970,1000,0.97,12.119909,0.743,42,Kongesti Berat
143,2000,972,1000,0.972,12.096386,6.216,42,Kongesti Berat
144,2000,972,1000,0.972,12.096696,4.051,42,Kongesti Berat
145,2000,972,1000,0.972,12.096472,0.69,42,Kongesti Berat
146,2000,972,1000,0.972,12.1009,0.745,42,Kongesti Berat
147,2000,972,1000,0.972,12.096529,0.561,42,Kongesti Berat
148,2000,970,1000,0.97,12.115987,0.76,42,Kongesti Berat
149,2000,970,1000,0.97,12.11011,6.692,50,Kongesti Berat
150,2000,972,1000,0.972,12.095243,7.691,48,Kongesti Berat
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,